diagnostic_id	diagnostic_type	subject	axis	cell_key	severity	priority_score	selected_count	candidate_count	source_item_count	evidence_count	matched_work_ids	source_ids	rationale	next_action
x028_coverage_0001	coverage_red_cell	region_form: east_asia|graphic_visual_narrative	region_form	east_asia|graphic_visual_narrative	critical	120	0	0	20	0	""	""	selected=0; unmatched_source_pressure=20; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
x028_source_cluster_fireflies	source_backed_unmatched_cluster	Fireflies	source_cluster	fireflies	high	111	0	0	4	0	""	e017_columbia_early_modern_japanese_lit_2002;e017_columbia_modern_japanese_lit_v1_2005;e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 4 source(s) and 4 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_invitation_to_voyage	source_backed_unmatched_cluster	Invitation to the Voyage	source_cluster	invitation to voyage	high	94	0	0	3	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 3 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_kubla_khan	source_backed_unmatched_cluster	Kubla Khan	source_cluster	kubla khan	high	94	0	0	3	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 3 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_peacock_southeast_flew	source_backed_unmatched_cluster	"""A Peacock Southeast Flew"" | A Peacock Southeast Flew"	source_cluster	peacock southeast flew	high	93	0	0	2	0	""	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_deer_enclosure	source_backed_unmatched_cluster	"""Deer Enclosure"" | Deer Enclosure"	source_cluster	deer enclosure	high	93	0	0	2	0	""	norton_world_lit_5e_full_pre1650;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_midnight_songs	source_backed_unmatched_cluster	"""Midnight Songs"" | Midnight Songs"	source_cluster	midnight songs	high	93	0	0	2	0	""	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_ballad_of_mulan	source_backed_unmatched_cluster	"""The Ballad of Mulan"" | Ballad of Mulan"	source_cluster	ballad of mulan	high	93	0	0	2	0	""	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_song_of_lasting_regret	source_backed_unmatched_cluster	"""The Song of Lasting Regret"" | The Song of Lasting Regret"	source_cluster	song of lasting regret	high	93	0	0	2	0	""	norton_world_lit_5e_full_pre1650;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_5_lesbia_let_us_live_only_for_loving	source_backed_unmatched_cluster	"5 ""Lesbia, let us live only for loving"" | 5 [Lesbia, let us live only for loving]"	source_cluster	5 lesbia let us live only for loving	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_51_to_me_that_man_seems_like_god_in_heaven	source_backed_unmatched_cluster	"51 ""To me that man seems like a god in heaven"" | 51 [To me that man seems like a god in heaven]"	source_cluster	51 to me that man seems like god in heaven	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_76_if_any_pleasure_can_come_to_man_through_recalling	source_backed_unmatched_cluster	"76 ""If any pleasure can come to a man through recalling"" | 76 [If any pleasure can come to a man through recalling]"	source_cluster	76 if any pleasure can come to man through recalling	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_martyr	source_backed_unmatched_cluster	A Martyr | The Martyr	source_cluster	martyr	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_agamemnon	source_backed_unmatched_cluster	Agamemnon | AGAMEMNON	source_cluster	agamemnon	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_akashi	source_backed_unmatched_cluster	Akashi	source_cluster	akashi	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_autumn_excursion	source_backed_unmatched_cluster	An Autumn Excursion	source_cluster	autumn excursion	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_old_and_established_name	source_backed_unmatched_cluster	An Old and Established Name	source_cluster	old and established name	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_atsumori	source_backed_unmatched_cluster	Atsumori	source_cluster	atsumori	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_autumn_night	source_backed_unmatched_cluster	Autumn Night | The autumn night	source_cluster	autumn night	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_begging_for_food	source_backed_unmatched_cluster	Begging for Food	source_cluster	begging for food	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_bells_of_gion_monastery	source_backed_unmatched_cluster	Bells of Gion Monastery | The Bells of Gion Monastery	source_cluster	bells of gion monastery	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_bring_in_wine	source_backed_unmatched_cluster	Bring in the Wine	source_cluster	bring in wine	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_byzantium	source_backed_unmatched_cluster	Byzantium	source_cluster	byzantium	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_central_park	source_backed_unmatched_cluster	Central Park	source_cluster	central park	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_correspondences	source_backed_unmatched_cluster	Correspondences	source_cluster	correspondences	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_delicious_poison	source_backed_unmatched_cluster	Delicious Poison	source_cluster	delicious poison	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_elegy	source_backed_unmatched_cluster	Elegy	source_cluster	elegy	high	93	0	0	2	0	""	e014_penguin_modern_african_poetry_4e_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_emperor_jomei	source_backed_unmatched_cluster	Emperor Jomei	source_cluster	emperor jomei	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_escape	source_backed_unmatched_cluster	Escape	source_cluster	escape	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;e017_columbia_modern_japanese_lit_v2_2007	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_evening	source_backed_unmatched_cluster	Evening	source_cluster	evening	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_exile	source_backed_unmatched_cluster	Exile	source_cluster	exile	high	93	0	0	2	0	""	e014_penguin_modern_african_poetry_4e_2007;e017_columbia_traditional_japanese_lit_2007	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_farewell	source_backed_unmatched_cluster	Farewell	source_cluster	farewell	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_finding_fault_with_my_sons	source_backed_unmatched_cluster	Finding Fault with My Sons	source_cluster	finding fault with my sons	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_fire	source_backed_unmatched_cluster	Fire	source_cluster	fire	high	93	0	0	2	0	""	norton_world_lit_5e_full_pre1650;oxford_modern_indian_poetry_1998	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_from_on_reading_seas_and_mountains_classic	source_backed_unmatched_cluster	From On Reading the Seas and Mountains Classic	source_cluster	from on reading seas and mountains classic	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_fuenteovejuna	source_backed_unmatched_cluster	Fuenteovejuna	source_cluster	fuenteovejuna	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_gentle_now_doves	source_backed_unmatched_cluster	Gentle now, doves | [GENTLE NOW, DOVES]	source_cluster	gentle now doves	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_harvest	source_backed_unmatched_cluster	Harvest | The Harvest	source_cluster	harvest	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_heartvine	source_backed_unmatched_cluster	Heartvine	source_cluster	heartvine	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_holy_sonnets	source_backed_unmatched_cluster	Holy Sonnets | HOLY SONNETS	source_cluster	holy sonnets	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_homecoming	source_backed_unmatched_cluster	Homecoming	source_cluster	homecoming	high	93	0	0	2	0	""	e014_penguin_modern_african_poetry_4e_2007;e017_columbia_modern_japanese_lit_v2_2007	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_in_response_to_vice_magistrate_zhang	source_backed_unmatched_cluster	In Response to Vice-Magistrate Zhang | In Response to Vice- Magistrate Zhang	source_cluster	in response to vice magistrate zhang	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_in_quiet_night	source_backed_unmatched_cluster	In the Quiet Night	source_cluster	in quiet night	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_ithaka	source_backed_unmatched_cluster	Ithaka	source_cluster	ithaka	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_kakinomoto_no_hitomaro	source_backed_unmatched_cluster	Kakinomoto no Hitomaro	source_cluster	kakinomoto no hitomaro	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_kinaxixi	source_backed_unmatched_cluster	Kinaxixi | Kinaxixi.	source_cluster	kinaxixi	high	93	0	0	2	0	""	e014_penguin_modern_african_poetry_4e_2007;e014_rienner_anthology_african_lit_2007	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_lavender	source_backed_unmatched_cluster	Lavender	source_cluster	lavender	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_lessons_for_women	source_backed_unmatched_cluster	Lessons for Women	source_cluster	lessons for women	high	93	0	0	2	0	""	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_men_ask_way_to_cold_mountain	source_backed_unmatched_cluster	Men ask the way to Cold Mountain | [Men ask the way to Cold Mountain]	source_cluster	men ask way to cold mountain	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_moth	source_backed_unmatched_cluster	Moth	source_cluster	moth	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_my_innocent_uncle	source_backed_unmatched_cluster	My Innocent Uncle	source_cluster	my innocent uncle	high	93	0	0	2	0	""	e018_columbia_modern_korean_fiction_2005;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_my_mind_is_like_autumn_moon	source_backed_unmatched_cluster	My mind is like the autumn moon | [My mind is like the autumn moon]	source_cluster	my mind is like autumn moon	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_o_captain_my_captain	source_backed_unmatched_cluster	O Captain! My Captain!	source_cluster	o captain my captain	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_ode_on_grecian_urn	source_backed_unmatched_cluster	Ode on a Grecian Urn	source_cluster	ode on grecian urn	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_ode_to_nightingale	source_backed_unmatched_cluster	Ode to a Nightingale	source_cluster	ode to nightingale	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_of_cannibals	source_backed_unmatched_cluster	Of Cannibals	source_cluster	of cannibals	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_of_power_of_imagination	source_backed_unmatched_cluster	Of the Power of the Imagination	source_cluster	of power of imagination	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_on_spring_and_autumn	source_backed_unmatched_cluster	On Spring and Autumn | On spring and autumn	source_cluster	on spring and autumn	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_otomo_no_tabito	source_backed_unmatched_cluster	Otomo no Tabito	source_cluster	otomo no tabito	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_part	source_backed_unmatched_cluster	Part I	source_cluster	part	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_patriotism	source_backed_unmatched_cluster	Patriotism	source_cluster	patriotism	high	93	0	0	2	0	""	e017_columbia_modern_japanese_lit_v2_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_pining_wind	source_backed_unmatched_cluster	Pining Wind	source_cluster	pining wind	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_prologue_in_heaven	source_backed_unmatched_cluster	Prologue in Heaven	source_cluster	prologue in heaven	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_question_and_answer_in_mountains	source_backed_unmatched_cluster	Question and Answer in the Mountains	source_cluster	question and answer in mountains	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_returning_to_farm_to_dwell	source_backed_unmatched_cluster	Returning to the Farm to Dwell	source_cluster	returning to farm to dwell	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_sealed_off	source_backed_unmatched_cluster	Sealed Off	source_cluster	sealed off	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_seeing_plum_blossoms_when_sentenced_to_exile	source_backed_unmatched_cluster	Seeing the Plum Blossoms When Sentenced to Exile	source_cluster	seeing plum blossoms when sentenced to exile	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_sitting_alone_by_jingting_mountain	source_backed_unmatched_cluster	Sitting Alone by Jingting Mountain	source_cluster	sitting alone by jingting mountain	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_sometimes_when_it_rains	source_backed_unmatched_cluster	Sometimes When It Rains | Sometimes When it Rains.	source_cluster	sometimes when it rains	high	93	0	0	2	0	""	e014_penguin_modern_african_poetry_4e_2007;e014_rienner_anthology_african_lit_2007	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_songs_of_sorrow	source_backed_unmatched_cluster	Songs of Sorrow | Songs of Sorrow.	source_cluster	songs of sorrow	high	93	0	0	2	0	""	e014_penguin_modern_african_poetry_4e_2007;e014_rienner_anthology_african_lit_2007	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_sugawara_no_michizane	source_backed_unmatched_cluster	Sugawara no Michizane | SUGAWARA NO MICHIZANE	source_cluster	sugawara no michizane	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_suma	source_backed_unmatched_cluster	Suma	source_cluster	suma	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_tales_of_heike	source_backed_unmatched_cluster	Tales Of Heike | THE TALES OF THE HEIKE	source_cluster	tales of heike	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_badger	source_backed_unmatched_cluster	The Badger	source_cluster	badger	high	93	0	0	2	0	""	e017_columbia_early_modern_japanese_lit_2002;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_broom_tree	source_backed_unmatched_cluster	The Broom Tree	source_cluster	broom tree	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_dancing_girl_of_izu	source_backed_unmatched_cluster	The Dancing Girl of Izu	source_cluster	dancing girl of izu	high	93	0	0	2	0	""	e017_columbia_modern_japanese_lit_v1_2005;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_dead	source_backed_unmatched_cluster	The Dead	source_cluster	dead	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_death_of_atsumori	source_backed_unmatched_cluster	The Death of Atsumori	source_cluster	death of atsumori	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_death_of_kiyomori	source_backed_unmatched_cluster	The Death of Kiyomori	source_cluster	death of kiyomori	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_death_of_imperial_lady	source_backed_unmatched_cluster	The Death of the Imperial Lady	source_cluster	death of imperial lady	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_deep_river_story_of_ancient_tribal_migration	source_backed_unmatched_cluster	The Deep River: A Story of Ancient Tribal Migration. | The Deep River: A Story of Ancient Tribal Migration	source_cluster	deep river story of ancient tribal migration	high	93	0	0	2	0	""	e014_rienner_anthology_african_lit_2007;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_doum_tree_of_wad_hamid	source_backed_unmatched_cluster	The Doum Tree of Wad Hamid. | The Doum Tree of Wad Hamid	source_cluster	doum tree of wad hamid	high	93	0	0	2	0	""	e014_rienner_anthology_african_lit_2007;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
