review_id	work_order_id	cut_work_id	cut_title	cut_creator	cut_rank	selection_basis	completion_unit	source_debt_status	evidence_count	accepted_evidence_refs	provisional_evidence_refs	alias_count	alias_examples	source_item_match_count	source_item_match_statuses	duplicate_cluster_key	duplicate_cluster_size	generic_title_flag	selection_basis_status	recommended_resolution	next_action
x051_selection_basis_0001	x050_cut_review_0001	work_candidate_eastasia_lit_lu_you_poems	Selected Poems	Lu You	331	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0002	x050_cut_review_0002	work_candidate_mandatory_burns_poems_chiefly	Poems, Chiefly in the Scottish Dialect	Robert Burns	712	""	Read the complete literary work or a documented assigned selection.	open_no_evidence	0	""	""	1	Selected Poems	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0003	x050_cut_review_0003	work_candidate_euro_under_lit_sutzkever_poems	Selected Poems	Avrom Sutzkever	1765	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0004	x050_cut_review_0004	work_candidate_global_lit_nazim_hikmet_poems	Selected Poems	Nazim Hikmet	1766	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0005	x050_cut_review_0005	work_candidate_scale_lit_tsvetaeva_selected	Selected Poems	Marina Tsvetaeva	1767	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0006	x050_cut_review_0006	work_candidate_bloom_reviewed_heaney_poems	Selected Poems	Seamus Heaney	1768	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0007	x050_cut_review_0007	work_candidate_me_lit_siamanto_poems	Selected Poems	Siamanto	1770	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0008	x050_cut_review_0008	work_candidate_me_lit_varoujan_poems	Selected Poems	Daniel Varoujan	1771	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0009	x050_cut_review_0009	work_candidate_indig_lit_chaska_poems	Selected Poems	Ch'aska Anka Ninawaman	2677	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0010	x050_cut_review_0010	work_candidate_selected_poems_joy_harjo	Selected Poems	Joy Harjo	2679	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0011	x050_cut_review_0011	work_candidate_indig_lit_odi_gonzales_poems	Selected Poems	Odi Gonzales	2680	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0012	x050_cut_review_0012	work_candidate_bloom_reviewed_hughes_poems	The Weary Blues and Selected Poems	Langston Hughes	1745	""	Read the poem, poetry collection, or assigned poetic selection.	open_selection_only	1	x001_x006_ev_e012_aap_hughes_negro_speaks_rivers	""	7	Selected Poems;The Weary Blues;Fine Clothes to the Jew	1	represented_by_selection	selected poems	106	true	generic_title_has_evidence_selection_basis_review_required	review_whether_row_is_collection_or_representative_selection	resolve_collection_vs_selected_representation_basis
x051_selection_basis_0013	x050_cut_review_0013	work_candidate_completion_lit_peretz_stories	Selected Stories	I. L. Peretz	1773	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	selected stories	7	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0014	x050_cut_review_0014	work_candidate_bloom_reviewed_welty_stories	Selected Stories	Eudora Welty	1776	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	selected stories	7	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0015	x050_cut_review_0015	work_candidate_southasia_lit_pudhumaipithan_stories	Selected Stories	Pudhumaipithan	1777	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	selected stories	7	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0016	x050_cut_review_0016	work_candidate_global_lit_manto_selected_stories	Selected Stories	Saadat Hasan Manto	1774	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	selected stories	7	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0017	x050_cut_review_0017	work_candidate_latcarib_lit_silvina_ocampo_stories	Selected Stories	Silvina Ocampo	1775	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	selected stories	7	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0018	x050_cut_review_0018	work_candidate_bloom_gap_031_0015_poems	Poems	Alcman	53	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	poems	6	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0019	x050_cut_review_0019	work_candidate_bloom_marvell_poems	Poems	Andrew Marvell	575	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	poems	6	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0020	x050_cut_review_0020	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	587	""	Read the complete literary work or a documented assigned selection.	open_no_evidence	0	""	""	1	Selected Poems	0	""	selected poems	106	false	non_generic_source_support_unresolved	extract_or_accept_cut_side_source_support_before_cut_decision	extract_cut_side_source_support
x051_selection_basis_0021	x050_cut_review_0021	work_candidate_eastasia_lit_buson_haiku	Selected Haiku	Yosa Buson	660	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected haiku	4	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0022	x050_cut_review_0022	work_candidate_eastasia_lit_issa_haiku	Selected Haiku	Kobayashi Issa	907	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected haiku	4	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0023	x050_cut_review_0023	work_candidate_eastasia_lit_shiki_haiku	Selected Haiku	Masaoka Shiki	908	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected haiku	4	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0024	x050_cut_review_0024	work_candidate_bloom_pindar_odes	Odes	Pindar	66	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	odes	3	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0025	x050_cut_review_0025	work_candidate_me_lit_navai_ghazals	Selected Ghazals	Ali-Shir Nava'i	434	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected ghazals	3	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_saib_tabrizi_ghazals	Selected Ghazals	Saib Tabrizi	589	""	Read the complete literary work or a documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	selected ghazals	3	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0027	x050_cut_review_0027	work_candidate_bloom_late_032_literature_bloom_democratic_age_reviewed_0364_odes	"""Odes"""	Ugo Foscolo	752	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	odes	3	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0028	x050_cut_review_0028	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0835_collected_poems	Collected Poems	Primo Levi	1185	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	collected poems	3	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0029	x050_cut_review_0029	work_candidate_eastasia_lit_xin_qiji_ci	Selected Ci Poems	Xin Qiji	329	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected ci poems	2	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0030	x050_cut_review_0030	work_candidate_eastasia_lit_li_qingzhao_ci	Selected Ci Poems	Li Qingzhao	330	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected ci poems	2	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0031	x050_cut_review_0031	work_candidate_bloom_maupassant_selected_stories	Boule de Suif and Selected Stories	Guy de Maupassant	919	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_martial_epigrams	Epigrams	Martial	152	""	Read the complete literary work or a documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0033	x050_cut_review_0033	work_candidate_eastasia_lit_han_shan_poems	Cold Mountain Poems	Hanshan	233	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0034	x050_cut_review_0034	work_candidate_completion_lit_count_lucanor	Count Lucanor	Don Juan Manuel	398	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0035	x050_cut_review_0035	work_candidate_bloom_cervantes_exemplary_stories	Exemplary Stories	Miguel de Cervantes	550	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0036	x050_cut_review_0036	work_candidate_wave003_arnold_dover_beach	Dover Beach and Selected Poems	Matthew Arnold	858	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0037	x050_cut_review_0037	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0857_a_longing_for_the_light_selected_poems	A Longing for the Light: Selected Poems	Vicente Aleixandre	1217	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0038	x050_cut_review_0038	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0938_exile_and_other_poems	Exile and Other Poems	Saint-John Perse	1292	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0039	x050_cut_review_0039	work_candidate_southasia_lit_angarey	Angarey	Sajjad Zaheer, Rashid Jahan, Ahmed Ali, and Mahmuduzzafar	1511	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0040	x050_cut_review_0040	work_candidate_bloom_oconnor_complete_stories	Complete Stories	Flannery O'Connor	1726	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	3	A Good Man Is Hard to Find;Good Country People;Everything That Rises Must Converge	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0041	x050_cut_review_0041	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	2031	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0042	x050_cut_review_0042	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	2052	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0043	x050_cut_review_0043	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	2393	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0044	x050_cut_review_0044	work_candidate_indig_lit_arctic_dreams	Arctic Dreams and Nightmares	Alootook Ipellie	2535	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0045	x050_cut_review_0045	work_candidate_eastasia_lit_cursed_bunny	Cursed Bunny	Bora Chung	2929	""	Read the story, tale, story collection, or documented assigned selection.	open_no_evidence	0	""	""	0	""	0	""	""	0	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
