source_title	source_normalized	target_title	target_normalized	target_status	target_total_question_count	target_answerline_question_count	target_creator	target_chronology_label	source_status	source_total_question_count	source_answerline_question_count	match_terms_json	notes
Book of Songs	book of songs	Book of Songs (Heinrich Heine)	book of songs heinrich heine	present_public	81	1	Heinrich Heine	1827	missing	0	0	"[""heinrich heine"",""heine"",""die lorelei"",""lorelei"",""romanzero"",""lyrical intermezzo"",""schumann""]"	""
Book of Songs	book of songs	Book of Songs / Shijing	book of songs shijing	present_public	3	3	Classical Chinese poetic tradition	c. 11th-7th century BCE	missing	0	0	"[""shijing"",""shi jing"",""classic of poetry"",""classic of odes"",""book of odes"",""carambola"",""wild ox horn"",""seventh moon"",""zhou""]"	""
Bread and Wine	bread and wine	Bread and Wine (Friedrich Holderlin)	bread and wine friedrich holderlin	present_public	27	2	Friedrich Holderlin	c. 1800-1801	needs_review	3	1	"[""holderlin"",""friedrich holderlin"",""wilhelm heinze"",""heinze"",""hyperion"",""death of empedocles"",""empedocles"",""the rhine""]"	""
Bread and Wine	bread and wine	Bread and Wine (Ignazio Silone)	bread and wine ignazio silone	below_threshold	2	0	""		needs_review	3	1	"[""ignazio silone"",""silone"",""pietro spina"",""don benedetto""]"	Split target observed but below the public threshold.
Bus Stop	bus stop	Bus Stop (Gao Xingjian)	bus stop gao xingjian	present_public	16	0	Gao Xingjian	c. 1983	below_threshold	2	2	"[""gao xingjian"",""gao"",""soul mountain"",""buying a fishing rod"",""chinese nobel"",""chinese noble""]"	""
Bus Stop	bus stop	Bus Stop (William Inge)	bus stop william inge	present_public	14	5	William Inge	1955	below_threshold	2	2	"[""william inge"",""inge"",""come back little sheba"",""midwestern playwright"",""cherie"",""bo decker""]"	""
Diary of a Madman	diary of a madman	Diary of a Madman (Lu Xun)	diary of a madman lu xun	present_public	22	3	Lu Xun	1918	needs_review	4	2	"[""lu xun"",""lu hsun"",""call to arms"",""a call to arms"",""the true story of ah q"",""ah q"",""kuangren riji"",""cannibal"",""cannibalism"",""may fourth""]"	""
Diary of a Madman	diary of a madman	Diary of a Madman (Nikolai Gogol)	diary of a madman nikolai gogol	present_public	161	14	Nikolai Gogol	1835	needs_review	4	2	"[""nikolai gogol"",""gogol"",""arabesques"",""poprishchin"",""the nose"",""taras bulba"",""inspector general"",""khlestakov"",""nevsky prospect"",""dikanka""]"	""
Hyperion	hyperion	Hyperion (Friedrich Holderlin)	hyperion friedrich holderlin	present_public	22	2	Friedrich Holderlin	1797-1799	needs_review	8	1	"[""holderlin"",""diotima"",""mistra"",""death of empedocles"",""paul flemming""]"	""
Hyperion	hyperion	Hyperion (John Keats)	hyperion john keats	present_public	22	5	John Keats	c. 1820	needs_review	8	1	"[""john keats"",""keats"",""titans"",""lamia"",""ode to a nightingale"",""ode on a grecian urn""]"	""
North and South	north and south	North and South (Elizabeth Gaskell)	north and south elizabeth gaskell	present_public	15	9	Elizabeth Gaskell	1854-1855	needs_review	4	0	"[""elizabeth gaskell"",""gaskell"",""margaret hale"",""john thornton"",""cranford"",""mary barton"",""victorian novelist"",""milton northern"",""nicholas higgins""]"	""
North and South	north and south	North and South (John Jakes)	north and south john jakes	below_threshold	1	0	""		needs_review	4	0	"[""john jakes"",""jakes"",""hazard and main"",""hazard family"",""main family"",""orry main"",""george hazard""]"	Split target observed but below the public threshold.
The Island	the island	The Island (Athol Fugard)	the island athol fugard	present_public	30	0	Athol Fugard; John Kani; Winston Ntshona	1973	needs_review	3	0	"[""athol fugard"",""fugard"",""john kani"",""winston ntshona"",""robben island"",""cellmates"",""master harold"",""sizwe bansi"",""styless studio""]"	""
The Lost World	the lost world	The Lost World (Arthur Conan Doyle)	the lost world arthur conan doyle	present_public	7	0	Arthur Conan Doyle	1912	needs_review	4	0	"[""arthur conan doyle"",""conan doyle"",""professor challenger"",""challenger"",""disintegration machine"",""land of mist"",""maple white""]"	""
The Lost World	the lost world	The Lost World (Michael Crichton)	the lost world michael crichton	below_threshold	2	2	""		needs_review	4	0	"[""michael crichton"",""crichton"",""jurassic park"",""ian malcolm"",""dinosaurs didnt die""]"	Split target observed but below the public threshold.
The Lost World	the lost world	The Lost World (Randall Jarrell)	the lost world randall jarrell	present_public	3	0	Randall Jarrell	1965	needs_review	4	0	"[""randall jarrell"",""jarrell"",""the woman at the washington zoo"",""blood for a stranger"",""little friend little friend""]"	""
The Mother	the mother	The Mother (Gwendolyn Brooks)	the mother gwendolyn brooks	present_public	8	0	Gwendolyn Brooks	1945	needs_review	12	0	"[""gwendolyn brooks"",""brooks"",""we real cool"",""golden shovel"",""chicagoan"",""old yellow pair""]"	""
The Mother	the mother	The Mother (Maxim Gorky)	the mother maxim gorky	present_public	4	0	Maxim Gorky	1906-1907	needs_review	12	0	"[""maxim gorky"",""gorky"",""socialist realism"",""pavel"",""nilovna"",""the lower depths"",""luka""]"	""
The Other Side	the other side	The Other Side (Alfred Kubin)	the other side alfred kubin	below_threshold	2	0	""		needs_review	905	0	"[""alfred kubin"",""kubin"",""dream realm"",""perle"",""austrian expressionist""]"	Split target observed but below the public threshold.
The Royal Family	the royal family	The Royal Family (Kaufman and Ferber)	the royal family kaufman and ferber	present_public	4	0	George S. Kaufman; Edna Ferber	1927	missing	0	0	"[""george s kaufman"",""george kaufman"",""kaufman"",""edna ferber"",""ferber"",""stage door"",""dinner at eight"",""show boat"",""barrymore""]"	""
The Royal Family	the royal family	The Royal Family (William T. Vollmann)	the royal family william t vollmann	below_threshold	1	0	""		missing	0	0	"[""william t vollmann"",""vollmann"",""tenderloin"",""prostitutes"",""mcteague""]"	Split target observed but below the public threshold.
